BC_name	SampleID
barcode15_barcode05	SR010
barcode15_barcode06	SR011
barcode15_barcode07	SR012
barcode15_barcode08	SR013
barcode15_barcode09	SR014
barcode15_barcode10	SR015
barcode15_barcode11	SR016
barcode15_barcode12	SR017
barcode15_barcode13	SR018
barcode15_barcode14	SR019
barcode15_barcode15	SR020
barcode15_barcode16	SR021
barcode16_barcode01	SR022
barcode16_barcode02	ES132
barcode16_barcode03	ES133
barcode16_barcode04	ES135
barcode16_barcode05	ES136
barcode16_barcode06	
barcode16_barcode07	ES138
barcode16_barcode08	ES139
barcode16_barcode09	ES140
barcode16_barcode10	ES141
barcode16_barcode11	ES142
barcode16_barcode12	ES143
barcode16_barcode13	ES146
barcode16_barcode14	ES147
barcode16_barcode15	ES148
barcode16_barcode16	ES149
barcode17_barcode01	ES151
barcode17_barcode02	ES152
barcode17_barcode03	ES153
barcode17_barcode04	ES154
barcode17_barcode05	ES155
barcode17_barcode06	ES233
barcode17_barcode07	ES234
barcode17_barcode08	ES236
barcode14_barcode11	NT219

